000100010189000,01/01/2000 
000100010191000,01/01/2010 
000100010193000,01/01/2010 
000100010194000,01/01/2010 
000100010196000,01/01/2010 
000100010197000,01/01/2008 
000100010198000,01/01/2009 
000100010199000,01/01/2010 
000100010200000,01/01/2010 
000100020001000,01/01/2010 
000100020002000,01/01/2010 
000100020003000,01/01/1998 
000100020004000,01/01/1998 
000100020005000,01/01/1998 
000100020006000,01/01/1998 
000100020007000,01/01/2007 
000100020008000,01/01/1998 
000100020009000,01/01/2003 
000100020010000,01/01/2008 
000100020011000,01/01/1998 
000100020012000,01/01/1998 
000100020013000,01/01/1999 
000100020014000,01/01/1998 
000100020015000,01/01/1999 
000100020015999,01/01/2004 
000100020016000,01/01/2010 
000100020017000,01/01/1998 
000100020018000,01/01/1999 
000100020019000,01/01/1998 
000100020020000,01/01/1998 
000100020021000,01/01/1999 
000100020022000,01/01/1998 
000100020023000,01/01/2007 
000100020024000,01/01/1998 
000100020025000,01/01/2007 
000100020026000,01/01/2007 
000100020027000,01/01/2007 
000100020028000,01/01/1998 
000100020029000,01/01/2003 
000100020030000,01/01/1998 
000100020031000,01/01/2008 
000100020032000,01/01/2010 
000100020033000,01/01/1998 
000100020034000,01/01/1998 
000100020047000,01/01/1998 
000100020048000,01/01/2010 
000100020049000,01/01/1999 
000100020050000,01/01/2010 
000100020051000,01/01/1999 
000100020052000,01/01/1999 
000100020053000,01/01/2010 
000100020054000,01/01/2008 
000100020055000,01/01/2007 
000100020056000,01/01/2002 
000100020057000,01/01/2003 
000100020058000,01/01/2010 
000100020059000,01/01/2003 
000100020060000,01/01/2008 
000100020061000,01/01/2003 
000100020062000,01/01/2010 
000100020063000,01/01/2003 
000100020064000,01/01/2008 
000100020065000,01/01/2007 
000100020066000,01/01/2003 
000100020067000,01/01/2010 
000100020068000,01/01/2003 
000100020069000,01/01/2010 
000100020070000,01/01/2003 
000100020071000,01/01/2008 
000100020072000,01/01/2003 
000100020073000,01/01/2003 
000100020074000,01/01/2003 
000100020075000,01/01/2008 
000100020076000,01/01/2003 
000100020077000,01/01/2004 
000100020078000,01/01/2007 
000100020079000,01/01/2008 
000100020080000,01/01/2003 
000100020081000,01/01/2003 
000100020082000,01/01/2003 
000100020083000,01/01/2010 
000100020084000,01/01/2007 
