Autoid;CUP;Valor;Compania
2001;905727;14425;CLINICA SAN JUAN DE DIOS
2001;E19351;14035;CLINICA SAN JUAN DE DIOS
2001;E19352;19260;CLINICA SAN JUAN DE DIOS
2001;906807;43415;CLINICA SAN JUAN DE DIOS
2001;906808;39515;CLINICA SAN JUAN DE DIOS
2001;906809;33495;CLINICA SAN JUAN DE DIOS
2001;906810;10655;CLINICA SAN JUAN DE DIOS
2001;906811;19315;CLINICA SAN JUAN DE DIOS
2001;906812;25915;CLINICA SAN JUAN DE DIOS
2001;906113;5525;CLINICA SAN JUAN DE DIOS
2001;906210;16605;CLINICA SAN JUAN DE DIOS
2001;906212;39640;CLINICA SAN JUAN DE DIOS
2001;906213;39640;CLINICA SAN JUAN DE DIOS
2001;906214;45585;CLINICA SAN JUAN DE DIOS
2001;906215;39640;CLINICA SAN JUAN DE DIOS
2001;906216;39640;CLINICA SAN JUAN DE DIOS
2001;906217;39640;CLINICA SAN JUAN DE DIOS
2001;902106;60780;CLINICA SAN JUAN DE DIOS
2001;902204;1440;CLINICA SAN JUAN DE DIOS
2001;902205;1440;CLINICA SAN JUAN DE DIOS
2001;901303;18730;CLINICA SAN JUAN DE DIOS
2001;906419;36520;CLINICA SAN JUAN DE DIOS
2001;906420;22740;CLINICA SAN JUAN DE DIOS
2001;907201;12965;CLINICA SAN JUAN DE DIOS
2001;903013;24645;CLINICA SAN JUAN DE DIOS
2001;903014;17845;CLINICA SAN JUAN DE DIOS
2001;903015;17845;CLINICA SAN JUAN DE DIOS
2001;904503;24645;CLINICA SAN JUAN DE DIOS
2001;904401;111170;CLINICA SAN JUAN DE DIOS
2001;E19381;14145;CLINICA SAN JUAN DE DIOS
2001;905729;13575;CLINICA SAN JUAN DE DIOS
2001;904504;24430;CLINICA SAN JUAN DE DIOS
2001;904506;13990;CLINICA SAN JUAN DE DIOS
2001;901305;3095;CLINICA SAN JUAN DE DIOS
2001;902206;3480;CLINICA SAN JUAN DE DIOS
2001;904101;40590;CLINICA SAN JUAN DE DIOS
2001;902012;2185;CLINICA SAN JUAN DE DIOS
